id,X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
356,9,11,78,77,81,0,1.04880884817015,0.774596669241483,13126,9640,6176,778.500160565173,467.270264408083,238.36547568807
357,8,12,80,78,77,1,0.948683298050514,0.774596669241483,12743,7155,8184,67,206.621392890475,195.153529304494
358,9,10,81,79,82,1.93649167310371,1.84390889145858,1.67332005306815,12543,8388,5663,336.131298750949,193.927563796382,211.422799149004
359,8,10,80,83,82,0.816496580927726,1.37840487520902,1.54919333848297,12845,8970,6764,351.227371750362,256.844894829545,182.330194976038
360,8,9,70,84,71,0.707106781186548,1.37840487520902,0.774596669241483,10430,11041,4076,37,212.91735485864,178.750944053451
361,9,6,70,80,67,0.707106781186548,0.707106781186548,0.707106781186548,7543,11817,6626,91.5013661100205,240.324156089229,190.380146023686
362,9,5,75,81,75,1.82574185835055,0.894427190999916,0.632455532033676,6290,13663,6457,88.7280489285472,278.094588224942,285.257602878521
363,8,5,73,83,75,0.707106781186548,0.774596669241483,0.547722557505166,5906,12245,7795,101.501231519622,244.425857879235,108.618138448419
364,9,7,71,86,67,0,1.14017542509914,0.632455532033676,8404,13374,5324,0,282.549287735786,150.611088569202
365,9,8,73,87,70,1.15470053837925,1.73205080756888,1.22474487139159,9310,15042,6631,268.292129341631,307.417956534748,234.474518871454
366,8,8,81,86,82,1.48323969741913,0.774596669241483,1.14017542509914,9634,12112,6634,229.075969931375,273.155084155503,340.012499770229
367,8,7,75,79,74,0.816496580927726,1.09544511501033,1,13079,10537,6781,306.055550513301,162.021603497805,140.835009851954
368,7,8,75,78,72,0,0.836660026534076,0.774596669241483,9658,8295,9622,0,105.310018516758,955.572550882454
369,7,7,77,77,77,1.58113883008419,1.04880884817015,1.09544511501033,8351,10056,8122,84.8012381985075,288.257176840404,107.841550433958
370,7,6,67,76,79,0.816496580927726,0.632455532033676,1.04880884817015,6212,9918,8773,77.9444246455982,77.7772460299283,169.718885219059
371,7,5,68,87,77,0.816496580927726,1.34164078649987,0.632455532033676,5010,11222,9334,144.064800234709,200.398103783444,204.684635476139
372,7,4,71,83,83,0.707106781186548,1.14017542509914,1.22474487139159,4513,13341,10102,73,422.178872043592,235.881962006424
373,6,4,69,85,76,0.707106781186548,1,0.836660026534076,5079,14395,10539,78.5015923405379,307.935058088552,214.839474957467
374,6,5,65,84,82,0.816496580927726,0.894427190999916,1.37840487520902,6550,11160,10082,92.4644075667317,329.554396116938,315.342036525421
375,6,6,69,82,77,0.707106781186548,1.34164078649987,1.09544511501033,6986,11125,8573,161.625338360048,258.46256982395,101.719221389077
376,6,7,70,76,73,0,0.632455532033676,1.18321595661992,8040,9115,8987,112.501111105624,120.811009432088,133.313915252685
377,6,8,72,79,81,0.707106781186548,1.30384048104053,0.707106781186548,8890,8292,9890,648.500192752477,136.069467552423,290.214231215494
378,6,9,70,78,77,0,0.632455532033676,1.04880884817015,10388,9401,9256,387.500322580511,408.008945980355,241.105993289259
379,6,10,75,73,74,0.816496580927726,0.774596669241483,0.447213595499958,10821,6948,9584,512.595356982484,208.276258848674,202.358345516067
380,6,11,84,80,87,0.577350269189626,1.58113883008419,1.09544511501033,11340,6462,11218,238.934440101603,169.812249263709,509.521049614243
381,6,12,78,65,77,0.577350269189626,0.547722557505166,0.632455532033676,13444,5881,9981,258.419555503578,275.722686770603,253.838334378399
382,6,13,76,73,85,0.707106781186548,1.8165902124585,1.7606816861659,13400,4137,9882,372.500335570319,365.265382975173,189.174258291132
383,6,14,78,72,79,0,1.44913767461894,1.14017542509914,15586,3899,9905,0,257.286027603521,191.625154924921
384,6,15,74,69,82,0.707106781186548,1.34164078649987,1.04880884817015,16624,3402,10099,101.501231519622,200.845960875493,211.595368569352
