X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
17,3,73,89,71,0.547722557505166,0.707106781186548,0.632455532033676,9866,20083,7076,130.044223247325,428.983099900217,127.765801371102
16,3,75,94,75,0.894427190999916,1.6431676725155,1.54919333848297,9030,20370,7672,211.400804161195,2368.5053725926,344.849822386499
13,3,70,85,72,0.707106781186548,1.04880884817015,1.14017542509914,6785,21146,6262,174.038214194469,401.605901351063,144.97241116847
12,3,69,91,75,0.547722557505166,1.09544511501033,1,5819,17188,6757,176.783200559329,470.526832391098,131.03892551452
11,3,71,84,79,1.04880884817015,1.14017542509914,1.6431676725155,4308,15266,7200,208.477576731887,99.788776924061,146.641399338659
10,3,73,89,82,1.18321595661992,0.447213595499958,0.948683298050514,3490,14893,8452,126.433777132537,76.6674637639723,207.00507240162
9,3,63,87,78,0.447213595499958,0.547722557505166,0.632455532033676,2461,17132,8360,230.905824959008,321.016198968214,228.559182707674
8,3,64,76,79,1.14017542509914,0.948683298050514,0.894427190999916,2936,13704,10496,292.464356802671,111.010810284404,212.614674940372
7,3,65,82,78,1.22474487139159,0.707106781186548,0.316227766016838,3024,16720,16435,88.3493067318584,229.811879588502,137.474361246016
6,3,67,78,76,1.14017542509914,0.894427190999916,1.14017542509914,3996,13222,11190,242.934764906137,107.36153873711,150.983111638355
5,3,67,92,83,0.948683298050514,2.12132034355964,0.836660026534076,4250,14830,11459,216.256791800859,279.10428158665,174.692014700157
4,3,69,79,81,0.894427190999916,0.707106781186548,0.707106781186548,4240,12363,12811,186.828531011727,90.4969612749511,112.520664768744
3,3,65,81,84,0.948683298050514,1.70293863659264,1.04880884817015,5195,14215,14876,148.597442777458,598.225041267916,244.215478624923
2,3,70,81,76,0.774596669241483,0.632455532033676,0.547722557505166,5869,15389,16712,91.7959694104267,452.400154730301,260.75812547263
1,3,69,73,82,0.894427190999916,0.707106781186548,0.774596669241483,6875,12900,17341,210.176116626033,198.164578065809,183.209988810654
0,3,73,79,83,1.18321595661992,1.04880884817015,0.836660026534076,8742,13180,18147,285.264613999003,138.330040121443,816.633087745041
1,4,73,80,79,1.58113883008419,1,0.774596669241483,7829,12030,14949,206.274816688805,131.350295012992,143.102061480609
3,4,78,76,88,0.836660026534076,0.316227766016838,0.894427190999916,7156,11668,13487,160.123702180533,115.321723885832,261.961256677395
4,4,73,78,81,1,1.14017542509914,1.30384048104053,5643,11775,13699,194.324470924277,207.517951030748,334.653402791605
5,4,74,75,86,0.774596669241483,0.707106781186548,0.894427190999916,4929,12466,12252,178.692193450078,124.166823266121,94.2061569113187
6,4,66,85,76,1.09544511501033,1.70293863659264,0.774596669241483,3843,13574,14240,473.850187295521,730.333280085195,304.534234528731
7,4,69,81,79,0.774596669241483,0.447213595499958,0.632455532033676,4719,13199,9403,637.752851816438,107.325672604461,149.332180055071
10,4,80,89,74,1.04880884817015,0.894427190999916,0.447213595499958,6513,15004,7548,339.492857067715,300.092818974397,241.34000911577
11,4,77,81,77,0.894427190999916,0.948683298050514,0.547722557505166,6558,17144,6788,157.628360392412,256.599103661724,194.564642214355
11,5,78,76,81,0.836660026534076,0.948683298050514,1.14017542509914,7895,16671,6299,154.866716889072,330.306978430671,253.780219875387
11,6,71,84,69,0.836660026534076,1,1.14017542509914,8278,14423,4879,287.843360180498,279.829591001381,123.494939167563
10,6,80,85,69,1.14017542509914,1.14017542509914,1.18321595661992,9128,15478,4297,125.934903819394,229.828196703538,167.978867718532
